Hierarchy;Name (location);Time/Call;Samples;Calls;% Time
  | +-;cv::Mat::operator=(cv::MatExpr const&);35ns;3;840340;1.4778326
  | | +-;cv::Mat::operator=(cv::MatExpr const&) (mat.hpp:1417);;2;;0.9852217
  | | | +-;0x8058020;;2;;0.9852217
  | | +-;cv::Mat::operator=(cv::MatExpr const&) (mat.hpp:1418);;1;;0.49261084
  | |   +-;0x8058044;;1;;0.49261084
  | +-;cv::Mat_<float>::operator()(int, int);22ns;14;6186186;6.8965516
  | | +-;cv::Mat_<float>::operator()(int, int) (mat.hpp:991);;14;;6.8965516
  | |   +-;0x804e070;;6;;2.955665
  | |   +-;0x804e068;;4;;1.9704434
  | |   +-;0x804e078;;2;;0.9852217
  | |   +-;0x804e064;;1;;0.49261084
  | |   +-;0x804e080;;1;;0.49261084
  | +-;cv::Mat::~Mat();20ns;14;6689184;6.8965516
  | | +-;cv::Mat::~Mat() (mat.hpp:274);;6;;2.955665
  | | | +-;0x804d9e0;;3;;1.4778326
  | | | +-;0x804d9d8;;2;;0.9852217
  | | | +-;0x804d9dc;;1;;0.49261084
  | | +-;cv::Mat::~Mat() (mat.hpp:276);;4;;1.9704434
  | | | +-;0x804d9e4;;2;;0.9852217
  | | | +-;0x804d9e8;;1;;0.49261084
  | | | +-;0x804d9ec;;1;;0.49261084
  | | +-;cv::Mat::~Mat() (mat.hpp:277);;4;;1.9704434
  | | | +-;0x804d9f0;;2;;0.9852217
  | | | +-;0x804d9f4;;1;;0.49261084
  | | | +-;0x804d9f8;;1;;0.49261084
  | | +-;cv::Mat::~Mat() (mat.hpp:279);;0;;0.0
  | |   +-;0x804da0c;;0;;0.0
  | +-;cv::Mat::MStep::operator[](int);9ns;6;6485542;2.955665
  | | +-;cv::Mat::MStep::operator[](int) (mat.hpp:738);;6;;2.955665
  | |   +-;0x804dd68;;3;;1.4778326
  | |   +-;0x804dd6c;;3;;1.4778326
  | +-;cv::Mat::MStep::operator[](int) const;7ns;5;6485542;2.4630542
  | | +-;cv::Mat::MStep::operator[](int) const (mat.hpp:737);;5;;2.4630542
  | |   +-;0x804dd48;;2;;0.9852217
  | |   +-;0x804dd50;;2;;0.9852217
  | |   +-;0x804dd54;;1;;0.49261084
  | +-;cv::Mat::create(cv::Size_<int>, int);0ns;0;1;0.0
  | +-;cv::_InputArray::_InputArray<unsigned char>(std::vector<unsigned char, std::allocator<unsigned char> > const&);0ns;0;526;0.0
  | +-;cv::_OutputArray::_OutputArray<unsigned char>(std::vector<unsigned char, std::allocator<unsigned char> >&);0ns;0;526;0.0
  | +-;cv::Mat::MSize::operator()() const;0ns;0;529;0.0
  | +-;cv::Mat::clone() const;0ns;0;567;0.0
  | +-;cv::Mat::operator()(cv::Rect_<int> const&) const;0ns;0;1054;0.0
  | +-;cv::Mat::total() const;0ns;0;1054;0.0
  | +-;cv::Mat::empty() const;0ns;0;1095;0.0
  | +-;cv::Mat_<float>::operator=(cv::Mat_<float> const&);0ns;0;4200;0.0
  | +-;cv::_OutputArray::_OutputArray<float>(cv::Mat_<float>&);0ns;0;18936;0.0
  | +-;cv::Mat::Mat(int, int, int);0ns;0;37872;0.0
  | +-;cv::Mat_<float>::Mat_(int, int);0ns;0;37872;0.0
  | +-;cv::Mat::create(int, int, int);0ns;0;37873;0.0
  | +-;cv::_OutputArray::_OutputArray<cv::Point_<float> >(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&);0ns;0;38398;0.0
  | +-;cv::Point_<float>* cv::Mat::ptr<cv::Point_<float> >(int);0ns;0;38924;0.0
  | +-;cv::_InputArray::_InputArray<cv::Point_<float> >(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > const&);0ns;0;39976;0.0
  | +-;cv::Mat_<float>::Mat_(cv::Mat const&);0ns;0;56282;0.0
  | +-;_ZNK2cv7MatExprcvNS_4Mat_IT_EEIfEEv;0ns;0;56808;0.0
  | +-;cv::_InputArray::_InputArray<float>(cv::Mat_<float> const&);0ns;0;56808;0.0
  | +-;cv::Mat_<float>::operator=(cv::Mat const&);0ns;0;57334;0.0
  | +-;cv::MatExpr::operator cv::Mat() const;0ns;0;61037;0.0
  | +-;cv::Mat_<float>::Mat_();0ns;0;76796;0.0
  | +-;cv::Mat::ptr(int);0ns;0;159282;0.0
  | +-;cv::Mat_<float>::operator[](int);0ns;0;159282;0.0
  | +-;cv::Mat::Mat();0ns;0;195789;0.0
  | +-;cv::Mat::initEmpty();0ns;0;233661;0.0
  | | +-;cv::Mat::initEmpty() (mat.hpp:59);;0;;0.0
  | |   +-;0x804d922;;0;;0.0
  | +-;cv::Mat::MSize::MSize(int*);0ns;0;277198;0.0
  | +-;cv::Mat::MStep::MStep();0ns;0;277198;0.0
  | +-;cv::Mat_<float>::operator()(cv::Rect_<int> const&) const;;1;;0.49261084
  |   +-;cv::Mat_<float>::operator()(cv::Rect_<int> const&) const (mat.hpp:974);;1;;0.49261084
  |     +-;0x805907e;;1;;0.49261084
  +-;global_motion.cpp;;16;;7.8817735
  | +-;cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*);133.079us;7;526;3.4482758
  | | +-;cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:407);;2;;0.9852217
  | | | +-;0x8054018;;1;;0.49261084
  | | | +-;0x8054048;;1;;0.49261084
  | | +-;cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:408);;2;;0.9852217
  | | | +-;0x80540dc;;1;;0.49261084
  | | | +-;0x80540e0;;1;;0.49261084
  | | +-;cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:409);;2;;0.9852217
  | | | +-;0x8054130;;1;;0.49261084
  | | | +-;0x805413c;;1;;0.49261084
  | | +-;cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:403);;1;;0.49261084
  | |   +-;0x8054160;;1;;0.49261084
  | +-;cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*);19.011us;1;526;0.49261084
  | | +-;cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:683);;1;;0.49261084
  | |   +-;0x8056780;;1;;0.49261084
  | +-;cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&);1.218us;5;41047;2.4630542
  | | +-;cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (global_motion.cpp:818);;3;;1.4778326
  | | | +-;0x8057954;;2;;0.9852217
  | | | +-;0x805790c;;1;;0.49261084
  | | +-;cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (global_motion.cpp:812);;2;;0.9852217
  | |   +-;0x80578e0;;1;;0.49261084
  | |   +-;0x80578e4;;1;;0.49261084
  | +-;cv::videostab::normalizePoints(int, cv::Point_<float>*);528ns;2;37872;0.9852217
  | | +-;cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:76);;1;;0.49261084
  | | | +-;0x8050574;;1;;0.49261084
  | | +-;cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:81);;1;;0.49261084
  | |   +-;0x80505b8;;1;;0.49261084
  | +-;cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*);528ns;1;18936;0.49261084
  | | +-;cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:302);;1;;0.49261084
  | |   +-;0x80529d4;;1;;0.49261084
  | +-;_GLOBAL__sub_I__ZN2cv9videostab32estimateGlobalMotionLeastSquaresERKNS_12_OutputArrayES3_iPf;0ns;0;1;0.0
  | +-;__static_initialization_and_destruction_0(int, int);0ns;0;1;0.0
  | +-;cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>);0ns;0;2;0.0
  | +-;cv::videostab::MotionEstimatorRansacL2::MotionEstimatorRansacL2(cv::videostab::MotionModel);0ns;0;2;0.0
  | +-;cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*);0ns;0;526;0.0
  | +-;cv::videostab::estimateGlobalMotionLeastSquares(cv::_OutputArray const&, cv::_OutputArray const&, int, float*);0ns;0;18936;0.0
  +-;operations.hpp;;4;;1.9704434
  | +-;cv::RNG::next();173ns;1;57747;0.49261084
  | | +-;cv::RNG::next() (operations.hpp:2484);;1;;0.49261084
  | |   +-;0x8057c80;;1;;0.49261084
  | +-;cv::Point_<float>::operator=(cv::Point_<float> const&);13ns;3;2227592;1.4778326
  | | +-;cv::Point_<float>::operator=(cv::Point_<float> const&) (operations.hpp:1620);;3;;1.4778326
  | |   +-;0x805906c;;1;;0.49261084
  | |   +-;0x8059070;;1;;0.49261084
  | |   +-;0x805907c;;1;;0.49261084
  | +-;cv::Ptr<IMotionEstimatorBuilder>::operator->();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::DeblurerBase>::Ptr();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::DeblurerBase>::Ptr(cv::videostab::DeblurerBase*);0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::DeblurerBase>::delete_obj();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::DeblurerBase>::operator cv::videostab::DeblurerBase*();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::DeblurerBase>::operator=(cv::Ptr<cv::videostab::DeblurerBase> const&);0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::ILog>::Ptr();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::ILog>::Ptr(cv::videostab::ILog*);0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::ILog>::delete_obj();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::ILog>::operator=(cv::Ptr<cv::videostab::ILog> const&);0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::IOutlierRejector>::Ptr(cv::Ptr<cv::videostab::IOutlierRejector> const&);0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::IOutlierRejector>::addref();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::Ptr();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::Ptr(cv::Ptr<cv::videostab::ImageMotionEstimatorBase> const&);0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::addref();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::InpainterBase>::Ptr();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::InpainterBase>::operator cv::videostab::InpainterBase*();0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::InpainterBase>::operator=(cv::Ptr<cv::videostab::InpainterBase> const&);0ns;0;1;0.0
  | +-;cv::Ptr<cv::videostab::MotionFilterBase>::Ptr();0ns;0;1;0.0
  | +-;cv::Ptr<IMotionEstimatorBuilder>::Ptr();0ns;0;2;0.0
  | +-;cv::Ptr<IMotionEstimatorBuilder>::Ptr(IMotionEstimatorBuilder*);0ns;0;2;0.0
  | +-;cv::Ptr<IMotionEstimatorBuilder>::delete_obj();0ns;0;2;0.0
  | +-;cv::Ptr<IMotionEstimatorBuilder>::operator=(cv::Ptr<IMotionEstimatorBuilder> const&);0ns;0;2;0.0
  | +-;cv::Ptr<cv::FeatureDetector>::Ptr();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::DeblurerBase>::~Ptr();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::IFrameSource>::Ptr();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::ILog>::~Ptr();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::IOutlierRejector>::Ptr();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr(cv::videostab::ISparseOptFlowEstimator*);0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::delete_obj();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::operator=(cv::Ptr<cv::videostab::ISparseOptFlowEstimator> const&);0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::Ptr(cv::videostab::ImageMotionEstimatorBase*);0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::delete_obj();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::operator=(cv::Ptr<cv::videostab::ImageMotionEstimatorBase> const&);0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::InpainterBase>::Ptr(cv::videostab::InpainterBase*);0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::InpainterBase>::delete_obj();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::Ptr<cv::videostab::MotionEstimatorBase> const&);0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::videostab::MotionEstimatorBase*);0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::MotionEstimatorBase>::addref();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::MotionEstimatorBase>::delete_obj();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::MotionFilterBase>::Ptr(cv::videostab::MotionFilterBase*);0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::MotionFilterBase>::delete_obj();0ns;0;2;0.0
  | +-;cv::Ptr<cv::videostab::MotionFilterBase>::operator=(cv::Ptr<cv::videostab::MotionFilterBase> const&);0ns;0;2;0.0
  | +-;cv::Ptr<cv::FeatureDetector>::Ptr(cv::FeatureDetector*);0ns;0;3;0.0
  | +-;cv::Ptr<cv::FeatureDetector>::delete_obj();0ns;0;3;0.0
  | +-;cv::Ptr<cv::FeatureDetector>::operator=(cv::Ptr<cv::FeatureDetector> const&);0ns;0;3;0.0
  | +-;cv::Ptr<cv::videostab::DeblurerBase>::release();0ns;0;3;0.0
  | +-;cv::Ptr<cv::videostab::IFrameSource>::operator=(cv::Ptr<cv::videostab::IFrameSource> const&);0ns;0;3;0.0
  | +-;cv::Ptr<cv::videostab::ILog>::release();0ns;0;3;0.0
  | +-;cv::Ptr<cv::videostab::IOutlierRejector>::Ptr(cv::videostab::IOutlierRejector*);0ns;0;3;0.0
  | +-;cv::Ptr<cv::videostab::IOutlierRejector>::delete_obj();0ns;0;3;0.0
  | +-;cv::Ptr<cv::videostab::IOutlierRejector>::operator=(cv::Ptr<cv::videostab::IOutlierRejector> const&);0ns;0;3;0.0
  | +-;cv::Ptr<cv::videostab::InpainterBase>::~Ptr();0ns;0;3;0.0
  | +-;cv::Ptr<cv::videostab::MotionFilterBase>::~Ptr();0ns;0;3;0.0
  | +-;cv::Ptr<IMotionEstimatorBuilder>::~Ptr();0ns;0;4;0.0
  | +-;cv::Ptr<cv::videostab::IFrameSource>::Ptr(cv::videostab::IFrameSource*);0ns;0;4;0.0
  | +-;cv::Ptr<cv::videostab::IFrameSource>::delete_obj();0ns;0;4;0.0
  | +-;cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::~Ptr();0ns;0;4;0.0
  | +-;cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::~Ptr();0ns;0;4;0.0
  | +-;cv::Ptr<cv::videostab::InpainterBase>::release();0ns;0;4;0.0
  | +-;cv::Ptr<cv::videostab::MotionEstimatorBase>::release();0ns;0;4;0.0
  | +-;cv::Ptr<cv::videostab::MotionEstimatorBase>::~Ptr();0ns;0;4;0.0
  | +-;cv::Size_<int>::operator=(cv::Size_<int> const&);0ns;0;4;0.0
  | +-;cv::Ptr<cv::FeatureDetector>::~Ptr();0ns;0;5;0.0
  | +-;cv::Ptr<cv::videostab::IFrameSource>::~Ptr();0ns;0;5;0.0
  | +-;cv::Ptr<cv::videostab::MotionFilterBase>::release();0ns;0;5;0.0
  | +-;cv::Ptr<IMotionEstimatorBuilder>::release();0ns;0;6;0.0
  | +-;cv::Ptr<cv::videostab::IOutlierRejector>::~Ptr();0ns;0;6;0.0
  | +-;cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::release();0ns;0;6;0.0
  | +-;cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::release();0ns;0;6;0.0
  | +-;cv::Ptr<cv::FeatureDetector>::release();0ns;0;8;0.0
  | +-;cv::Ptr<cv::videostab::IOutlierRejector>::release();0ns;0;9;0.0
  | +-;cv::Ptr<cv::videostab::IFrameSource>::release();0ns;0;10;0.0
  | +-;cv::Ptr<cv::FeatureDetector>::operator->();0ns;0;526;0.0
  | +-;cv::Ptr<cv::videostab::IOutlierRejector>::operator cv::videostab::IOutlierRejector*();0ns;0;526;0.0
  | +-;cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::operator->();0ns;0;526;0.0
  | +-;cv::RNG::RNG(unsigned long long);0ns;0;526;0.0
  | +-;cv::TermCriteria::TermCriteria(int, int, double);0ns;0;526;0.0
  | +-;cv::Matx<double, 4, 1>::Matx();0ns;0;527;0.0
  | +-;cv::Ptr<cv::videostab::MotionFilterBase>::operator->();0ns;0;527;0.0
  | +-;cv::Scalar_<double>::Scalar_();0ns;0;527;0.0
  | +-;cv::Vec<double, 4>::Vec();0ns;0;527;0.0
  | +-;cv::Ptr<cv::videostab::MotionEstimatorBase>::operator->();0ns;0;528;0.0
  | +-;cv::Ptr<cv::videostab::MotionEstimatorBase>::operator->() const;0ns;0;528;0.0
  | +-;cv::Size_<int>::Size_(int, int);0ns;0;532;0.0
  | +-;cv::Ptr<cv::videostab::ILog>::operator->();0ns;0;569;0.0
  | +-;cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::operator->();0ns;0;1054;0.0
  | +-;cv::Rect_<int>::Rect_(int, int, int, int);0ns;0;1054;0.0
  | +-;cv::Size_<int>::Size_(cv::Size_<int> const&);0ns;0;1054;0.0
  | +-;cv::Ptr<cv::videostab::IFrameSource>::operator->();0ns;0;1662;0.0
  | +-;cv::Point_<float>::Point_();0ns;0;42606;0.0
  | +-;cv::RNG::operator unsigned int();0ns;0;57747;0.0
  | +-;cv::Size_<int>::Size_();0ns;0;97313;0.0
  | +-;cv::Point_<float>::Point_(cv::Point_<float> const&);0ns;0;170602;0.0
  +-;cmath;;2;;0.9852217
  | +-;std::sqrt(float);101ns;2;197156;0.9852217
  | | +-;std::sqrt(float) (cmath:486);;2;;0.9852217
  | |   +-;0x804ec7c;;2;;0.9852217
  | +-;std::exp(float);0ns;0;112;0.0
  | +-;std::ceil(float);0ns;0;526;0.0
  | +-;std::pow(float, int);0ns;0;526;0.0
  | +-;std::log(float);0ns;0;1052;0.0
  | +-;std::floor(float);0ns;0;1054;0.0
  | +-;std::abs(float);;0;;0.0
  |   +-;std::abs(float) (cmath:91);;0;;0.0
  |     +-;0x804d920;;0;;0.0
  +-;stl_vector.h;;2;;0.9852217
  | +-;std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned int) const;12ns;1;820527;0.49261084
  | | +-;std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned int) const (stl_vector.h:766);;1;;0.49261084
  | |   +-;0x804e22c;;1;;0.49261084
  | +-;std::vector<cv::Mat, std::allocator<cv::Mat> >::size() const;12ns;1;829178;0.49261084
  | | +-;std::vector<cv::Mat, std::allocator<cv::Mat> >::size() const (stl_vector.h:626);;1;;0.49261084
  | |   +-;0x804e208;;1;;0.49261084
  | +-;std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::_M_deallocate(cv::Ptr<cv::videostab::InpainterBase>*, unsigned int);0ns;0;1;0.0
  | +-;std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::_M_get_Tp_allocator();0ns;0;1;0.0
  | +-;std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::_Vector_base();0ns;0;1;0.0
  | +-;std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::_Vector_impl::_Vector_impl();0ns;0;1;0.0
  | +-;std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::_Vector_impl::~_Vector_impl();0ns;0;1;0.0
  | +-;std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::~_Vector_base();0ns;0;1;0.0
  | +-;std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::begin() const;0ns;0;1;0.0
  | +-;std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::empty() const;0ns;0;1;0.0
  | +-;std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::end() const;0ns;0;1;0.0
  | +-;std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::vector();0ns;0;1;0.0
  | +-;std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::~vector();0ns;0;1;0.0
  | +-;std::vector<float, std::allocator<float> >::_M_erase_at_end(float*);0ns;0;1;0.0
  | +-;std::vector<float, std::allocator<float> >::clear();0ns;0;1;0.0
