Name (location);Time/Call;Samples;Calls;% Time
cv::videostab::estimateGlobalMotionLeastSquares(cv::_OutputArray const&, cv::_OutputArray const&, int, float*) (global_motion.cpp:334);0ns;0;75744;0.0
cv::Mat_<float>::~Mat_() (core.hpp:2691);0ns;0;170950;0.0
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*);133.079us;7;526;3.4482758
children;31ns;32;10222924;15.763547
cv::Mat::~Mat() (mat.hpp:274);6.653us;14;21040;6.8965516
cv::Mat_<float>::operator()(int, int) (mat.hpp:985);24ns;14;5648184;6.8965516
cv::Point_<float>::operator=(cv::Point_<float> const&) (operations.hpp:1619);14ns;3;2042010;1.4778326
cv::Mat::Mat(cv::Mat const&) (mat.hpp:111);19.011us;1;526;0.49261084
cv::Mat_<float>::Mat_() (mat.hpp:800);0ns;0;526;0.0
cv::Mat_<float>::operator=(cv::Mat const&) (mat.hpp:879);0ns;0;526;0.0
cv::RNG::RNG(unsigned long long) (operations.hpp:2480);0ns;0;526;0.0
cv::videostab::RansacParams::niters() const (motion_core.hpp:76);0ns;0;526;0.0
std::allocator<int>::allocator() (allocator.h:104);0ns;0;526;0.0
std::allocator<int>::~allocator() (allocator.h:112);0ns;0;526;0.0
std::vector<int, std::allocator<int> >::vector(unsigned int, int const&, std::allocator<int> const&) (stl_vector.h:292);0ns;0;526;0.0
std::vector<int, std::allocator<int> >::~vector() (stl_vector.h:402);0ns;0;526;0.0
cv::Point_<float>* cv::Mat::ptr<cv::Point_<float> >(int) (mat.hpp:426);0ns;0;1052;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::resize(unsigned int, cv::Point_<float>) (stl_vector.h:684);0ns;0;1052;0.0
std::allocator<cv::Point_<float> >::allocator() (allocator.h:104);0ns;0;2104;0.0
std::allocator<cv::Point_<float> >::~allocator() (allocator.h:112);0ns;0;2104;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::vector(unsigned int, cv::Point_<float> const&, std::allocator<cv::Point_<float> > const&) (stl_vector.h:292);0ns;0;2104;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::~vector() (stl_vector.h:402);0ns;0;2104;0.0
cv::Mat_<float>::operator=(cv::Mat_<float> const&) (mat.hpp:895);0ns;0;4200;0.0
cv::Point_<float>::Point_() (operations.hpp:1611);0ns;0;4208;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::swap(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&) (stl_vector.h:1079);0ns;0;8400;0.0
cv::Mat_<float>::Mat_(cv::Mat const&) (mat.hpp:824);0ns;0;18410;0.0
cv::Mat_<float>::~Mat_() (core.hpp:2691);0ns;0;18936;0.0
cv::videostab::estimateGlobalMotionLeastSquares(cv::_OutputArray const&, cv::_OutputArray const&, int, float*) (global_motion.cpp:331);0ns;0;18936;0.0
cv::_OutputArray::_OutputArray<cv::Point_<float> >(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&) (mat.hpp:1140);0ns;0;37872;0.0
cv::RNG::operator unsigned int() (operations.hpp:2491);0ns;0;57747;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::operator[](unsigned int) (stl_vector.h:750);0ns;0;159282;0.0
std::vector<int, std::allocator<int> >::operator[](unsigned int) (stl_vector.h:750);0ns;0;285717;0.0
sqr(float) (precomp.hpp:62);0ns;0;1882728;0.0
parents;0ns;0;526;0.0
cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*) (global_motion.cpp:472);0ns;0;526;0.0
cv::MatExpr::~MatExpr();57ns;6;1037104;2.955665
children;22ns;14;6336240;6.8965516
cv::Mat::~Mat() (mat.hpp:274);22ns;14;6336240;6.8965516
parents;77ns;8;1037104;3.9408867
cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (global_motion.cpp:809);56ns;5;881307;2.4630542
cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:85);528ns;2;37872;0.9852217
cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:320);132ns;1;75744;0.49261084
cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:283);0ns;0;40;0.0
cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:148);0ns;0;40;0.0
cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:110);0ns;0;42101;0.0
cv::Mat::MStep::operator[](int);9ns;6;6485542;2.955665
parents;66ns;43;6485542;21.182266
cv::Mat::operator=(cv::Mat const&) (mat.hpp:294);65ns;42;6398468;20.689655
cv::Mat::Mat(cv::Mat const&) (mat.hpp:120);114ns;1;87074;0.49261084
cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&);1.218us;5;41047;2.4630542
children;34ns;9;2582614;4.4334974
cv::MatExpr::~MatExpr() (mat.hpp:1211);68ns;6;881307;2.955665
cv::Mat::operator=(cv::MatExpr const&) (mat.hpp:1416);35ns;3;840260;1.4778326
cv::MatExpr::operator cv::Mat() const (mat.hpp:1219);0ns;0;41047;0.0
cv::Mat const& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (ring_buffer.hpp:59);0ns;0;820000;0.0
parents;0ns;0;41047;0.0
cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:116);0ns;0;41047;0.0
cv::Mat::MStep::operator[](int) const;7ns;5;6485542;2.4630542
parents;66ns;43;6485542;21.182266
cv::Mat::operator=(cv::Mat const&) (mat.hpp:294);65ns;42;6398468;20.689655
cv::Mat::Mat(cv::Mat const&) (mat.hpp:120);114ns;1;87074;0.49261084
cv::Mat::operator=(cv::MatExpr const&);35ns;3;840340;1.4778326
parents;59ns;5;840340;2.4630542
cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (global_motion.cpp:813);59ns;5;840260;2.4630542
cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:283);0ns;0;40;0.0
cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:148);0ns;0;40;0.0
cv::Point_<float>::operator=(cv::Point_<float> const&);13ns;3;2227592;1.4778326
parents;40ns;9;2227592;4.4334974
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:396);34ns;7;2042010;3.4482758
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:683);380ns;1;26300;0.49261084
cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:307);62ns;1;159282;0.49261084
cv::videostab::normalizePoints(int, cv::Point_<float>*);528ns;2;37872;0.9852217
children;280ns;23;818694;11.3300495
cv::Mat_<float>::operator()(int, int) (mat.hpp:985);924ns;14;151488;6.8965516
cv::MatExpr::~MatExpr() (mat.hpp:1211);1.584us;6;37872;2.955665
std::sqrt(float) (cmath:486);101ns;2;197154;0.9852217
cv::Mat::Mat(cv::Mat const&) (mat.hpp:111);264ns;1;37872;0.49261084
_ZNK2cv7MatExprcvNS_4Mat_IT_EEIfEEv (mat.hpp:1226);0ns;0;37872;0.0
cv::Mat_<float>::~Mat_() (core.hpp:2691);0ns;0;37872;0.0
sqr(float) (precomp.hpp:62);0ns;0;318564;0.0
parents;264ns;1;37872;0.49261084
cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:295);264ns;1;37872;0.49261084
std::sqrt(float);101ns;2;197156;0.9852217
parents;101ns;2;197156;0.9852217
cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:74);101ns;2;197154;0.9852217
cv::videostab::GaussianMotionFilter::setParams(int, float) (motion_stabilizing.cpp:96);0ns;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*);19.011us;1;526;0.49261084
children;618ns;17;275020;8.374384
cv::Mat::~Mat() (mat.hpp:274);266.159us;14;526;6.8965516
cv::Point_<float>::operator=(cv::Point_<float> const&) (operations.hpp:1619);1.140us;3;26300;1.4778326
cv::Mat::Mat() (mat.hpp:67);0ns;0;526;0.0
cv::Point_<float>::Point_() (operations.hpp:1611);0ns;0;526;0.0
cv::Ptr<cv::FeatureDetector>::operator->() (operations.hpp:2636);0ns;0;526;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::operator cv::videostab::IOutlierRejector*() (operations.hpp:2639);0ns;0;526;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::operator->() (operations.hpp:2636);0ns;0;526;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::operator->() (operations.hpp:2636);0ns;0;526;0.0
cv::_OutputArray::_OutputArray<cv::Point_<float> >(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >&) (mat.hpp:1140);0ns;0;526;0.0
cv::_OutputArray::_OutputArray<unsigned char>(std::vector<unsigned char, std::allocator<unsigned char> >&) (mat.hpp:1140);0ns;0;526;0.0
cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*) (global_motion.cpp:460);0ns;0;526;0.0
cv::videostab::SparsePyrLkOptFlowEstimator::run(cv::_InputArray const&, cv::_InputArray const&, cv::_InputArray const&, cv::_OutputArray const&, cv::_OutputArray const&, cv::_OutputArray const&) (optical_flow.cpp:58);0ns;0;526;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::resize(unsigned int, cv::Point_<float>) (stl_vector.h:684);0ns;0;526;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::clear() (stl_vector.h:1096);0ns;0;1052;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::reserve(unsigned int) (vector.tcc:66);0ns;0;1052;0.0
cv::_InputArray::_InputArray<cv::Point_<float> >(std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > const&) (mat.hpp:1119);0ns;0;1578;0.0
std::vector<cv::KeyPoint, std::allocator<cv::KeyPoint> >::operator[](unsigned int) (stl_vector.h:750);0ns;0;26300;0.0
std::vector<unsigned char, std::allocator<unsigned char> >::operator[](unsigned int) (stl_vector.h:750);0ns;0;26300;0.0
std::vector<cv::KeyPoint, std::allocator<cv::KeyPoint> >::size() const (stl_vector.h:625);0ns;0;27352;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::size() const (stl_vector.h:625);0ns;0;27878;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::push_back(cv::Point_<float> const&) (stl_vector.h:881);0ns;0;52298;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::operator[](unsigned int) (stl_vector.h:750);0ns;0;78598;0.0
parents;0ns;0;526;0.0
cv::videostab::OnePassStabilizer::estimateMotion() (stabilizer.cpp:295);0ns;0;526;0.0
cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*);528ns;1;18936;0.49261084
children;325ns;39;1197414;19.211823
cv::Mat::~Mat() (mat.hpp:274);3.696us;14;37872;6.8965516
cv::Mat_<float>::operator()(int, int) (mat.hpp:985);362ns;14;386514;6.8965516
cv::MatExpr::~MatExpr() (mat.hpp:1211);792ns;6;75744;2.955665
cv::Point_<float>::operator=(cv::Point_<float> const&) (operations.hpp:1619);188ns;3;159282;1.4778326
cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:59);528ns;2;37872;0.9852217
_ZNK2cv7MatExprcvNS_4Mat_IT_EEIfEEv (mat.hpp:1226);0ns;0;18936;0.0
cv::MatExpr::operator cv::Mat() const (mat.hpp:1219);0ns;0;18936;0.0
cv::Mat_<float>::Mat_() (mat.hpp:800);0ns;0;18936;0.0
cv::_OutputArray::_OutputArray<float>(cv::Mat_<float>&) (mat.hpp:1146);0ns;0;18936;0.0
cv::Mat_<float>::Mat_(cv::Mat const&) (mat.hpp:824);0ns;0;37872;0.0
cv::Mat_<float>::Mat_(int, int) (mat.hpp:803);0ns;0;37872;0.0
cv::Point_<float>::Point_() (operations.hpp:1611);0ns;0;37872;0.0
cv::_InputArray::_InputArray<float>(cv::Mat_<float> const&) (mat.hpp:1137);0ns;0;37872;0.0
cv::Mat_<float>::~Mat_() (core.hpp:2691);0ns;0;113616;0.0
cv::Mat_<float>::operator[](int) (mat.hpp:980);0ns;0;159282;0.0
parents;0ns;0;18936;0.0
cv::videostab::estimateGlobalMotionLeastSquares(cv::_OutputArray const&, cv::_OutputArray const&, int, float*) (global_motion.cpp:348);0ns;0;18936;0.0
cv::operator+=(cv::Mat const&, cv::MatExpr const&);243ns;1;41047;0.49261084
parents;0ns;0;41047;0.0
cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:116);0ns;0;41047;0.0
cv::Mat::Mat(cv::Mat const&);229ns;1;43537;0.49261084
children;421ns;11;261222;5.4187193
cv::Mat::MStep::operator[](int) (mat.hpp:738);689ns;6;87074;2.955665
cv::Mat::MStep::operator[](int) const (mat.hpp:737);574ns;5;87074;2.4630542
cv::Mat::MSize::MSize(int*) (mat.hpp:706);0ns;0;43537;0.0
cv::Mat::MStep::MStep() (mat.hpp:735);0ns;0;43537;0.0
parents;2.067us;9;43537;4.4334974
cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:447);133.079us;7;526;3.4482758
cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:89);528ns;2;37872;0.9852217
cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*) (global_motion.cpp:490);0ns;0;526;0.0
void std::_Construct<cv::Mat, cv::Mat>(cv::Mat*, cv::Mat const&) (stl_construct.h:85);0ns;0;4613;0.0
cv::RNG::next();173ns;1;57747;0.49261084
parents;0ns;0;57747;0.0
cv::RNG::operator unsigned int() (operations.hpp:2491);0ns;0;57747;0.0
cv::Mat::type() const;172ns;1;57861;0.49261084
parents;0ns;0;57861;0.0
cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:110);0ns;0;527;0.0
cv::Mat_<float>::operator=(cv::Mat const&) (mat.hpp:881);0ns;0;57334;0.0
void std::_Construct<cv::Point_<float>, cv::Point_<float> >(cv::Point_<float>*, cv::Point_<float> const&);113ns;1;88322;0.49261084
parents;0ns;0;88322;0.0
cv::Point_<float>* std::__uninitialized_copy<false>::__uninit_copy<cv::Point_<float>*, cv::Point_<float>*>(cv::Point_<float>*, cv::Point_<float>*, cv::Point_<float>*) (stl_uninitialized.h:77);0ns;0;36294;0.0
void std::__uninitialized_fill_n<false>::__uninit_fill_n<cv::Point_<float>*, unsigned int, cv::Point_<float> >(cv::Point_<float>*, unsigned int, cv::Point_<float> const&) (stl_uninitialized.h:189);0ns;0;52028;0.0
children;0ns;0;176644;0.0
cv::Point_<float>::Point_(cv::Point_<float> const&) (operations.hpp:1613);0ns;0;88322;0.0
operator new(unsigned int, void*) (new:112);0ns;0;88322;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned int) const;12ns;1;820527;0.49261084
parents;0ns;0;820527;0.0
cv::Mat const& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (ring_buffer.hpp:62);0ns;0;820527;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::size() const;12ns;1;829178;0.49261084
parents;0ns;0;829178;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::resize(unsigned int, cv::Mat) (stl_vector.h:686);0ns;0;10;0.0
std::vector<cv::Mat, std::allocator<cv::Mat> >::_M_check_len(unsigned int, char const*) const (stl_vector.h:1305);0ns;0;4228;0.0
cv::Mat& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> >&) (ring_buffer.hpp:56);0ns;0;4413;0.0
cv::Mat const& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (ring_buffer.hpp:61);0ns;0;820527;0.0
cv::Mat_<float>::operator()(cv::Rect_<int> const&) const;;1;;0.49261084
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_insert_aux(__gnu_cxx::__normal_iterator<cv::Point_<float>*, std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > >, cv::Point_<float> const&);;1;0;0.49261084
children;0ns;0;419748;0.0
__gnu_cxx::__normal_iterator<cv::Point_<float>*, std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > >::difference_type __gnu_cxx::operator-<cv::Point_<float>*, std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > >(__gnu_cxx::__normal_iterator<cv::Point_<float>*, std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > > const&, __gnu_cxx::__normal_iterator<cv::Point_<float>*, std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > > const&) (stl_iterator.h:898);0ns;0;29982;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_allocate(unsigned int) (stl_vector.h:168);0ns;0;29982;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_deallocate(cv::Point_<float>*, unsigned int) (stl_vector.h:172);0ns;0;29982;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_check_len(unsigned int, char const*) const (stl_vector.h:1303);0ns;0;29982;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::begin() (stl_vector.h:518);0ns;0;29982;0.0
void __gnu_cxx::__alloc_traits<std::allocator<cv::Point_<float> > >::construct<cv::Point_<float> >(std::allocator<cv::Point_<float> >&, cv::Point_<float>*, cv::Point_<float> const&) (alloc_traits.h:201);0ns;0;29982;0.0
void std::_Destroy<cv::Point_<float>*, cv::Point_<float> >(cv::Point_<float>*, cv::Point_<float>*, std::allocator<cv::Point_<float> >&) (stl_construct.h:152);0ns;0;29982;0.0
__gnu_cxx::__normal_iterator<cv::Point_<float>*, std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > > >::base() const (stl_iterator.h:792);0ns;0;59964;0.0
cv::Point_<float>* std::__uninitialized_move_if_noexcept_a<cv::Point_<float>*, cv::Point_<float>*, std::allocator<cv::Point_<float> > >(cv::Point_<float>*, cv::Point_<float>*, cv::Point_<float>*, std::allocator<cv::Point_<float> >&) (stl_uninitialized.h:276);0ns;0;59964;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_get_Tp_allocator() (stl_vector.h:114);0ns;0;89946;0.0
CV_FOURCC;0ns;0;1;0.0
parents;0ns;0;1;0.0
run() (videostab.cpp:51);0ns;0;1;0.0
MotionEstimatorRansacL2Builder::build();0ns;0;1;0.0
parents;0ns;0;1;0.0
main (videostab.cpp:458);0ns;0;1;0.0
children;0ns;0;35;0.0
bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) (basic_string.h:2516);0ns;0;1;0.0
cv::Ptr<cv::FeatureDetector>::Ptr(cv::FeatureDetector*) (operations.hpp:2586);0ns;0;1;0.0
cv::Ptr<cv::FeatureDetector>::~Ptr() (operations.hpp:2616);0ns;0;1;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::Ptr(cv::Ptr<cv::videostab::IOutlierRejector> const&) (operations.hpp:2618);0ns;0;1;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::Ptr(cv::videostab::IOutlierRejector*) (operations.hpp:2586);0ns;0;1;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::Ptr(cv::videostab::ImageMotionEstimatorBase*) (operations.hpp:2586);0ns;0;1;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::videostab::MotionEstimatorBase*) (operations.hpp:2586);0ns;0;1;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::~Ptr() (operations.hpp:2616);0ns;0;1;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:666);0ns;0;1;0.0
cv::videostab::KeypointBasedMotionEstimator::setDetector(cv::Ptr<cv::FeatureDetector>) (global_motion.hpp:180);0ns;0;1;0.0
cv::videostab::KeypointBasedMotionEstimator::setOutlierRejector(cv::Ptr<cv::videostab::IOutlierRejector>) (global_motion.hpp:186);0ns;0;1;0.0
cv::videostab::MotionEstimatorRansacL2::MotionEstimatorRansacL2(cv::videostab::MotionModel) (global_motion.cpp:451);0ns;0;1;0.0
cv::videostab::MotionEstimatorRansacL2::ransacParams() const (global_motion.hpp:97);0ns;0;1;0.0
cv::videostab::MotionEstimatorRansacL2::setMinInlierRatio(float) (global_motion.hpp:99);0ns;0;1;0.0
cv::videostab::MotionEstimatorRansacL2::setRansacParams(cv::videostab::RansacParams const&) (global_motion.hpp:96);0ns;0;1;0.0
cv::videostab::NullOutlierRejector::NullOutlierRejector() (outlier_rejection.hpp:64);0ns;0;1;0.0
int cv::CommandLineParser::get<int>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool) const (core.hpp:4581);0ns;0;1;0.0
motionModel(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) (videostab.cpp:548);0ns;0;1;0.0
bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) (basic_string.h:2553);0ns;0;2;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::~Ptr() (operations.hpp:2616);0ns;0;2;0.0
float cv::CommandLineParser::get<float>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool) const (core.hpp:4581);0ns;0;2;0.0
std::basic_string<char, std::char_traits<char>, std::allocator<char> > cv::CommandLineParser::get<std::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool) const (core.hpp:4581);0ns;0;4;0.0
std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) (basic_string.h:2399);0ns;0;7;0.0
_GLOBAL__sub_I__ZN2cv9videostab11LogToStdout5printEPKcz;0ns;0;1;0.0
children;0ns;0;1;0.0
__static_initialization_and_destruction_0(int, int) (log.cpp:65);0ns;0;1;0.0
parents;0ns;0;1;0.0
__libc_csu_init (??:-1);0ns;0;1;0.0
_GLOBAL__sub_I__ZN2cv9videostab14StabilizerBaseC2Ev;0ns;0;1;0.0
children;0ns;0;1;0.0
__static_initialization_and_destruction_0(int, int) (stabilizer.cpp:507);0ns;0;1;0.0
parents;0ns;0;1;0.0
__libc_csu_init (??:-1);0ns;0;1;0.0
_GLOBAL__sub_I__ZN2cv9videostab14calcBlurrinessERKNS_3MatE;0ns;0;1;0.0
children;0ns;0;1;0.0
__static_initialization_and_destruction_0(int, int) (deblurring.cpp:139);0ns;0;1;0.0
parents;0ns;0;1;0.0
__libc_csu_init (??:-1);0ns;0;1;0.0
_GLOBAL__sub_I__ZN2cv9videostab15VideoFileSourceC2ERKSsb;0ns;0;1;0.0
children;0ns;0;1;0.0
