Hierarchy	Name (location)	Time/Call	Samples	Calls	% Time
  | | +-	cv::videostab::MotionEstimatorBase::motionModel() const (global_motion.hpp:80)	0ns	0	1052	0
  | +-	parents	19.011us	1	526	0.6666667
  |   +-	cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:729)	19.011us	1	526	0.6666667
  +-	cv::Mat::operator=(cv::Mat const&)	4.669us	30	64252	20
  | +-	children	40ns	64	15996170	42.666668
  | | +-	cv::Mat::release() (mat.hpp:365)	178ns	57	3199234	38
  | | +-	cv::Mat::MStep::operator[](int) const (mat.hpp:737)	10ns	7	6398468	4.6666665
  | | +-	cv::Mat::MStep::operator[](int) (mat.hpp:738)	0ns	0	6398468	0
  | +-	parents	0ns	0	64252	0
  |   +-	cv::videostab::StabilizerBase::reset() (stabilizer.cpp:74)	0ns	0	3	0
  |   +-	cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:284)	0ns	0	41	0
  |   +-	run() (videostab.cpp:42)	0ns	0	528	0
  |   +-	cv::videostab::StabilizerBase::stabilizeFrame() (stabilizer.cpp:196)	0ns	0	1054	0
  |   +-	cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:124)	0ns	0	1092	0
  |   +-	cv::Mat_<float>::operator=(cv::Mat_<float> const&) (mat.hpp:897)	0ns	0	4200	0
  |   +-	cv::Mat_<float>::operator=(cv::Mat const&) (mat.hpp:883)	0ns	0	57334	0
  +-	cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*)	1.056us	2	18936	1.3333334
  | +-	children	242ns	29	1197414	19.333334
  | | +-	cv::Mat::~Mat() (mat.hpp:274)	1.848us	7	37872	4.6666665
  | | +-	cv::MatExpr::~MatExpr() (mat.hpp:1211)	792ns	6	75744	4
  | | +-	cv::Mat_<float>::operator()(int, int) (mat.hpp:985)	310ns	12	386514	8
  | | +-	cv::Mat_<float>::Mat_(cv::Mat const&) (mat.hpp:824)	264ns	1	37872	0.6666667
  | | +-	cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:59)	264ns	1	37872	0.6666667
  | | +-	cv::Point_<float>::operator=(cv::Point_<float> const&) (operations.hpp:1619)	125ns	2	159282	1.3333334
  | | +-	_ZNK2cv7MatExprcvNS_4Mat_IT_EEIfEEv (mat.hpp:1226)	0ns	0	18936	0
  | | +-	cv::MatExpr::operator cv::Mat() const (mat.hpp:1219)	0ns	0	18936	0
  | | +-	cv::Mat_<float>::Mat_() (mat.hpp:800)	0ns	0	18936	0
  | | +-	cv::_OutputArray::_OutputArray<float>(cv::Mat_<float>&) (mat.hpp:1146)	0ns	0	18936	0
  | | +-	cv::Mat_<float>::Mat_(int, int) (mat.hpp:803)	0ns	0	37872	0
  | | +-	cv::Point_<float>::Point_() (operations.hpp:1611)	0ns	0	37872	0
  | | +-	cv::_InputArray::_InputArray<float>(cv::Mat_<float> const&) (mat.hpp:1137)	0ns	0	37872	0
  | | +-	cv::Mat_<float>::~Mat_() (core.hpp:2691)	0ns	0	113616	0
  | | +-	cv::Mat_<float>::operator[](int) (mat.hpp:980)	0ns	0	159282	0
  | +-	parents	0ns	0	18936	0
  |   +-	cv::videostab::estimateGlobalMotionLeastSquares(cv::_OutputArray const&, cv::_OutputArray const&, int, float*) (global_motion.cpp:348)	0ns	0	18936	0
  +-	cv::Mat::type() const	518ns	3	57861	2
  | +-	parents	0ns	0	57861	0
  |   +-	cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:110)	0ns	0	527	0
  |   +-	cv::Mat_<float>::operator=(cv::Mat const&) (mat.hpp:881)	0ns	0	57334	0
  +-	std::vector<cv::KeyPoint, std::allocator<cv::KeyPoint> >::size() const	365ns	1	27352	0.6666667
  | +-	parents	365ns	1	27352	0.6666667
  |   +-	cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:681)	365ns	1	27352	0.6666667
  +-	cv::videostab::normalizePoints(int, cv::Point_<float>*)	264ns	1	37872	0.6666667
  | +-	parents	528ns	2	37872	1.3333334
  | | +-	cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:295)	528ns	2	37872	1.3333334
  | +-	children	256ns	21	818694	14
  |   +-	cv::MatExpr::~MatExpr() (mat.hpp:1211)	1.584us	6	37872	4
  |   +-	cv::Mat_<float>::operator()(int, int) (mat.hpp:985)	792ns	12	151488	8
  |   +-	cv::Mat::Mat(cv::Mat const&) (mat.hpp:111)	264ns	1	37872	0.6666667
  |   +-	std::sqrt(float) (cmath:486)	101ns	2	197154	1.3333334
  |   +-	_ZNK2cv7MatExprcvNS_4Mat_IT_EEIfEEv (mat.hpp:1226)	0ns	0	37872	0
  |   +-	cv::Mat_<float>::~Mat_() (core.hpp:2691)	0ns	0	37872	0
  |   +-	sqr(float) (precomp.hpp:62)	0ns	0	318564	0
  +-	cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&)	243ns	1	41047	0.6666667
  | +-	children	42ns	11	2582614	7.3333335
  | | +-	cv::MatExpr::~MatExpr() (mat.hpp:1211)	68ns	6	881307	4
  | | +-	cv::Mat::operator=(cv::MatExpr const&) (mat.hpp:1416)	35ns	3	840260	2
  | | +-	cv::Mat const& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (ring_buffer.hpp:59)	24ns	2	820000	1.3333334
  | | +-	cv::MatExpr::operator cv::Mat() const (mat.hpp:1219)	0ns	0	41047	0
  | +-	parents	0ns	0	41047	0
  |   +-	cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:116)	0ns	0	41047	0
  +-	cv::Mat::Mat(cv::Mat const&)	229ns	1	43537	0.6666667
  | +-	parents	1.837us	8	43537	5.3333335
  | | +-	cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:447)	114.068us	6	526	4
  | | +-	cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*) (global_motion.cpp:490)	19.011us	1	526	0.6666667
  | | +-	cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:89)	264ns	1	37872	0.6666667
  | | +-	void std::_Construct<cv::Mat, cv::Mat>(cv::Mat*, cv::Mat const&) (stl_construct.h:85)	0ns	0	4613	0
  | +-	children	267ns	7	261222	4.6666665
  |   +-	cv::Mat::MStep::operator[](int) const (mat.hpp:737)	803ns	7	87074	4.6666665
  |   +-	cv::Mat::MSize::MSize(int*) (mat.hpp:706)	0ns	0	43537	0
  |   +-	cv::Mat::MStep::MStep() (mat.hpp:735)	0ns	0	43537	0
  |   +-	cv::Mat::MStep::operator[](int) (mat.hpp:738)	0ns	0	87074	0
  +-	cv::Mat_<float>::Mat_(cv::Mat const&)	177ns	1	56282	0.6666667
  | +-	parents	1.421us	8	56282	5.3333335
  | | +-	cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:400)	3.259us	6	18410	4
  | | +-	cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:295)	528ns	2	37872	1.3333334
  | +-	children	0ns	0	112564	0
  |   +-	cv::Mat::Mat() (mat.hpp:67)	0ns	0	56282	0
  |   +-	cv::Mat_<float>::operator=(cv::Mat const&) (mat.hpp:879)	0ns	0	56282	0
  +-	std::sqrt(float)	101ns	2	197156	1.3333334
  | +-	parents	50ns	1	197156	0.6666667
  |   +-	cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:74)	50ns	1	197154	0.6666667
  |   +-	cv::videostab::GaussianMotionFilter::setParams(int, float) (motion_stabilizing.cpp:96)	0ns	0	2	0
  +-	cv::Mat::initEmpty()	85ns	2	233661	1.3333334
  | +-	parents	0ns	0	233661	0
  |   +-	cv::Mat::Mat(int, int, int) (mat.hpp:74)	0ns	0	37872	0
  |   +-	cv::Mat::Mat() (mat.hpp:69)	0ns	0	195789	0
  +-	cv::Point_<float>::Point_(cv::Point_<float> const&)	58ns	1	170602	0.6666667
  | +-	parents	0ns	0	170602	0
  |   +-	__gnu_cxx::new_allocator<cv::Point_<float> >::construct(cv::Point_<float>*, cv::Point_<float> const&) (new_allocator.h:120)	0ns	0	82280	0
  |   +-	void std::_Construct<cv::Point_<float>, cv::Point_<float> >(cv::Point_<float>*, cv::Point_<float> const&) (stl_construct.h:85)	0ns	0	88322	0
  +-	cv::MatExpr::~MatExpr()	57ns	6	1037104	4
  | +-	parents	38ns	4	1037104	2.6666667
  | | +-	cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:85)	264ns	1	37872	0.6666667
  | | +-	cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:320)	264ns	2	75744	1.3333334
  | | +-	cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (global_motion.cpp:809)	11ns	1	881307	0.6666667
  | | +-	cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:283)	0ns	0	40	0
  | | +-	cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:148)	0ns	0	40	0
  | | +-	cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:110)	0ns	0	42101	0
  | +-	children	11ns	7	6336240	4.6666665
  |   +-	cv::Mat::~Mat() (mat.hpp:274)	11ns	7	6336240	4.6666665
  +-	cv::Mat::release()	42ns	57	13343070	38
  | +-	parents	27ns	37	13343070	24.666666
  |   +-	cv::Mat::operator=(cv::Mat const&) (mat.hpp:287)	93ns	30	3199234	20
  |   +-	cv::Mat::~Mat() (mat.hpp:276)	6ns	7	10143836	4.6666665
  +-	cv::Mat::operator=(cv::MatExpr const&)	35ns	3	840340	2
  | +-	parents	11ns	1	840340	0.6666667
  |   +-	cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (global_motion.cpp:813)	11ns	1	840260	0.6666667
  |   +-	cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:283)	0ns	0	40	0
  |   +-	cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:148)	0ns	0	40	0
  +-	cv::Mat const& cv::videostab::at<cv::Mat>(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&)	24ns	2	820527	1.3333334
  | +-	parents	12ns	1	820527	0.6666667
  | | +-	cv::videostab::getMotion(int, int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&) (global_motion.cpp:813)	12ns	1	820000	0.6666667
  | | +-	cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:109)	0ns	0	527	0
  | +-	children	0ns	0	1641054	0
  |   +-	std::vector<cv::Mat, std::allocator<cv::Mat> >::operator[](unsigned int) const (stl_vector.h:765)	0ns	0	820527	0
  |   +-	std::vector<cv::Mat, std::allocator<cv::Mat> >::size() const (stl_vector.h:625)	0ns	0	820527	0
  +-	cv::Mat_<float>::operator()(int, int)	19ns	12	6186186	8
  | +-	parents	14ns	9	6186186	6
  |   +-	cv::videostab::normalizePoints(int, cv::Point_<float>*) (global_motion.cpp:86)	66ns	1	151488	0.6666667
  |   +-	cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:310)	51ns	2	386514	1.3333334
  |   +-	cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:407)	10ns	6	5648184	4
  +-	cv::Mat::MStep::operator[](int) const	10ns	7	6485542	4.6666665
  | +-	parents	47ns	31	6485542	20.666666
  |   +-	cv::Mat::Mat(cv::Mat const&) (mat.hpp:120)	114ns	1	87074	0.6666667
  |   +-	cv::Mat::operator=(cv::Mat const&) (mat.hpp:294)	46ns	30	6398468	20
  +-	cv::Mat::~Mat()	10ns	7	6689184	4.6666665
  | +-	children	56ns	57	10143836	38
  | | +-	cv::Mat::release() (mat.hpp:365)	56ns	57	10143836	38
  | +-	parents	23ns	16	6689184	10.666667
  |   +-	cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:678)	19.011us	1	526	0.6666667
  |   +-	cv::videostab::MotionEstimatorRansacL2::estimate(cv::_InputArray const&, cv::_InputArray const&, bool*) (global_motion.cpp:462)	6.337us	1	1578	0.6666667
  |   +-	cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:358)	2.851us	6	21040	4
  |   +-	cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:295)	528ns	2	37872	1.3333334
  |   +-	cv::MatExpr::~MatExpr() (mat.hpp:1211)	9ns	6	6336240	4
  |   +-	cv::videostab::StabilizerBase::reset() (stabilizer.cpp:74)	0ns	0	3	0
  |   +-	cv::videostab::StabilizerBase::~StabilizerBase() (stabilizer.hpp:66)	0ns	0	4	0
  |   +-	cv::videostab::OnePassStabilizer::setUp(cv::Mat const&) (stabilizer.cpp:275)	0ns	0	5	0
  |   +-	void std::_Destroy<cv::Mat>(cv::Mat*) (stl_construct.h:95)	0ns	0	405	0
  |   +-	run() (videostab.cpp:42)	0ns	0	529	0
  |   +-	cv::videostab::(anonymous namespace)::VideoFileSourceImpl::nextFrame() (frame_source.cpp:85)	0ns	0	567	0
  |   +-	cv::videostab::StabilizerBase::stabilizeFrame() (stabilizer.cpp:211)	0ns	0	1054	0
  |   +-	cv::videostab::StabilizerBase::doOneIteration() (stabilizer.cpp:129)	0ns	0	1093	0
  |   +-	cv::videostab::GaussianMotionFilter::stabilize(int, std::vector<cv::Mat, std::allocator<cv::Mat> > const&, std::pair<int, int>) (motion_stabilizing.cpp:116)	0ns	0	41574	0
  |   +-	cv::videostab::estimateGlobalMotionLeastSquares(cv::_OutputArray const&, cv::_OutputArray const&, int, float*) (global_motion.cpp:334)	0ns	0	75744	0
  |   +-	cv::Mat_<float>::~Mat_() (core.hpp:2691)	0ns	0	170950	0
  +-	cv::Point_<float>::operator=(cv::Point_<float> const&)	8ns	2	2227592	1.3333334
  | +-	parents	40ns	9	2227592	6
  |   +-	cv::videostab::KeypointBasedMotionEstimator::estimate(cv::Mat const&, cv::Mat const&, bool*) (global_motion.cpp:683)	380ns	1	26300	0.6666667
  |   +-	cv::videostab::estimateGlobMotionLeastSquaresAffine(int, cv::Point_<float>*, cv::Point_<float>*, float*) (global_motion.cpp:307)	125ns	2	159282	1.3333334
  |   +-	cv::videostab::estimateGlobalMotionRansac(cv::_InputArray const&, cv::_InputArray const&, int, cv::videostab::RansacParams const&, float*, int*) (global_motion.cpp:396)	29ns	6	2042010	4
  +-	CV_FOURCC	0ns	0	1	0
  | +-	parents	0ns	0	1	0
  |   +-	run() (videostab.cpp:51)	0ns	0	1	0
  +-	MotionEstimatorRansacL2Builder::build()	0ns	0	1	0
  | +-	parents	0ns	0	1	0
  | | +-	main (videostab.cpp:458)	0ns	0	1	0
  | +-	children	0ns	0	35	0
  |   +-	bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) (basic_string.h:2516)	0ns	0	1	0
  |   +-	cv::Ptr<cv::FeatureDetector>::Ptr(cv::FeatureDetector*) (operations.hpp:2586)	0ns	0	1	0
  |   +-	cv::Ptr<cv::FeatureDetector>::~Ptr() (operations.hpp:2616)	0ns	0	1	0
  |   +-	cv::Ptr<cv::videostab::IOutlierRejector>::Ptr(cv::Ptr<cv::videostab::IOutlierRejector> const&) (operations.hpp:2618)	0ns	0	1	0
  |   +-	cv::Ptr<cv::videostab::IOutlierRejector>::Ptr(cv::videostab::IOutlierRejector*) (operations.hpp:2586)	0ns	0	1	0
  |   +-	cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::Ptr(cv::videostab::ImageMotionEstimatorBase*) (operations.hpp:2586)	0ns	0	1	0
  |   +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::videostab::MotionEstimatorBase*) (operations.hpp:2586)	0ns	0	1	0
  |   +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::~Ptr() (operations.hpp:2616)	0ns	0	1	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:666)	0ns	0	1	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::setDetector(cv::Ptr<cv::FeatureDetector>) (global_motion.hpp:180)	0ns	0	1	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::setOutlierRejector(cv::Ptr<cv::videostab::IOutlierRejector>) (global_motion.hpp:186)	0ns	0	1	0
  |   +-	cv::videostab::MotionEstimatorRansacL2::MotionEstimatorRansacL2(cv::videostab::MotionModel) (global_motion.cpp:451)	0ns	0	1	0
  |   +-	cv::videostab::MotionEstimatorRansacL2::ransacParams() const (global_motion.hpp:97)	0ns	0	1	0
  |   +-	cv::videostab::MotionEstimatorRansacL2::setMinInlierRatio(float) (global_motion.hpp:99)	0ns	0	1	0
  |   +-	cv::videostab::MotionEstimatorRansacL2::setRansacParams(cv::videostab::RansacParams const&) (global_motion.hpp:96)	0ns	0	1	0
  |   +-	cv::videostab::NullOutlierRejector::NullOutlierRejector() (outlier_rejection.hpp:64)	0ns	0	1	0
  |   +-	int cv::CommandLineParser::get<int>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool) const (core.hpp:4581)	0ns	0	1	0
  |   +-	motionModel(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) (videostab.cpp:548)	0ns	0	1	0
  |   +-	bool std::operator!=<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) (basic_string.h:2553)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::IOutlierRejector>::~Ptr() (operations.hpp:2616)	0ns	0	2	0
  |   +-	float cv::CommandLineParser::get<float>(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool) const (core.hpp:4581)	0ns	0	2	0
  |   +-	std::basic_string<char, std::char_traits<char>, std::allocator<char> > cv::CommandLineParser::get<std::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, bool) const (core.hpp:4581)	0ns	0	4	0
  |   +-	std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*) (basic_string.h:2399)	0ns	0	7	0
  +-	_GLOBAL__sub_I__ZN2cv9videostab11LogToStdout5printEPKcz	0ns	0	1	0
  | +-	children	0ns	0	1	0
  | | +-	__static_initialization_and_destruction_0(int, int) (log.cpp:65)	0ns	0	1	0
  | +-	parents	0ns	0	1	0
